File,Revisions,Refactorings,BugFixes,SumOfAdded Lines,MaxOfAdded Lines,AvgOfAdded Lines,SumOfDeleted Lines,MaxOfDeleted Lines,AvgOfDeleted Lines,MaxOfCodeChurn,AvgOfCodeChurn,MaxOfCount,AvgChangeset,Age
],507,20,0,,,,,,,0,0,60,2.09,10
all_changes.log,4,0,0,52,,13,52,,13,44,26,1,1,10
applications/console/console-core/LICENSE.txt,2,0,0,0,,0,0,,0,0,0,225,113.5,7
applications/console/console-core/NOTICE.txt,2,0,0,0,,0,0,,0,0,0,225,113.5,7
applications/console/console-core/pom.xml,2,0,0,0,,0,0,,0,0,0,60,30.5,7
applications/console/console-core/src/main/java,2,0,0,0,,0,0,,0,0,0,225,113,7
applications/console/console-ear/LICENSE.txt,2,0,0,0,,0,0,,0,0,0,225,114,7
applications/console/console-ear/NOTICE.txt,2,0,0,0,,0,0,,0,0,0,225,114,7
applications/console/console-ear/pom.xml,4,0,0,4,,1,0,,0,2,1,225,72.25,7
applications/console/console-ear/src/main/application,2,0,0,0,,0,0,,0,0,0,225,113,7
applications/console/console-framework/LICENSE.txt,2,0,0,0,,0,0,,0,0,0,225,114,7
applications/console/console-framework/NOTICE.txt,2,0,0,0,,0,0,,0,0,0,225,114,7
applications/console/console-framework/pom.xml,4,0,0,4,,1,0,,0,2,1,225,72.25,7
applications/console/console-framework/src/main/java,2,0,0,0,,0,0,,0,0,0,225,113.5,7
applications/console/console-framework/src/main/webapp,2,0,0,0,,0,0,,0,0,0,225,113.5,7
applications/console/console-standard/LICENSE.txt,2,0,0,0,,0,0,,0,0,0,225,114,7
applications/console/console-standard/NOTICE.txt,2,0,0,0,,0,0,,0,0,0,225,114,7
applications/console/console-standard/pom.xml,4,0,0,12,,3,0,,0,6,3,225,72.25,7
applications/console/console-standard/src/main/java,2,0,0,0,,0,0,,0,0,0,225,114,7
applications/console/console-standard/src/main/resources,2,0,0,0,,0,0,,0,0,0,225,114,7
applications/console/console-standard/src/main/webapp,2,0,0,0,,0,0,,0,0,0,225,114,7
applications/console/geronimo-console-core/pom.xml,4,0,0,0,,0,74,,18,37,18.5,36,10,8
applications/console/geronimo-console-ear/pom.xml,2,0,0,0,,0,0,,0,0,0,36,18.5,7
applications/console/geronimo-console-framework/pom.xml,2,0,0,0,,0,0,,0,0,0,36,18.5,7
applications/console/geronimo-console-framework/src/main/webapp/js/forms.js,2,0,0,0,,0,0,,0,0,0,16,8.5,10
applications/console/geronimo-console-standard/pom.xml,7,0,0,3,,0,27,,4,12,4.29,44,16.43,9
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/databasemanager/wizard/DatabaseInfo.java,2,0,0,0,,0,0,,0,0,0,2,2,8
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/databasemanager/wizard/DatabasePoolPortlet.java,4,0,0,4,,1,2,,0,3,1.5,6,3,8
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/internaldb/DBViewerPortlet.java,2,0,0,0,,0,0,,0,0,0,46,26,8
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/internaldb/DerbyConnectionUtil.java,2,0,0,0,,0,0,,0,0,0,2,2,8
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/internaldb/InternalDBHelper.java,2,0,0,0,,0,0,,0,0,0,46,26,8
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/internaldb/RunSQLHelper.java,2,0,0,0,,0,0,,0,0,0,46,26,8
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/jmsmanager/activemqCF/ActiveMQConnectorHelper.java,2,0,0,0,,0,0,,0,0,0,46,24,8
