File,Revisions,SumOfREF,SumOfAdded Lines,MaxOfAdded Lines,AvgOfAdded Lines,SumOfDeleted Lines,MaxOfDeleted Lines,AvgOfDeleted Lines,MaxOfCodeChurn,AvgChangeset,Age
all_changes.log,2,0,38,,19,22,,11,44,30,9
applications/console/geronimo-console-core/NOTICE.txt,1,0,0,,0,0,,0,0,0,11
applications/console/geronimo-console-core/pom.xml,7,0,16,,2,19,,3,11,5,44
applications/console/geronimo-console-core/src/main/java/org/apache/geronimo/console/core/jms/TopicBrowserGBean.java,2,0,0,,0,0,,0,0,0,9
applications/console/geronimo-console-core/src/main/java/org/apache/geronimo/console/core/keystore/KeyEntryInfo.java,1,0,0,,0,0,,0,0,0,9
applications/console/geronimo-console-core/src/main/java/org/apache/geronimo/console/core/keystore/KeyStoreGBean.java,2,0,0,,0,0,,0,0,0,9
applications/console/geronimo-console-core/src/main/java/org/apache/geronimo/console/core/security/PropertiesFileLoginModuleNoCache.java,1,0,0,,0,0,,0,0,0,9
applications/console/geronimo-console-core/src/main/java/org/apache/geronimo/console/core/security/PropertiesLoginModuleManager.java,8,0,144,,18,40,,5,49,23,39
applications/console/geronimo-console-core/src/main/java/org/apache/geronimo/console/gbean/ContextForward.java,1,0,6,,6,6,,6,12,12,9
applications/console/geronimo-console-core/src/main/java/org/apache/geronimo/console/gbean/ContextForwardGBean.java,4,0,24,,6,12,,3,12,9,9
applications/console/geronimo-console-core/src/main/java/org/apache/geronimo/console/util/ConfigurationData.java,1,0,0,,0,0,,0,0,0,9
applications/console/geronimo-console-core/src/main/java/org/apache/geronimo/console/util/KernelManagementHelper.java,4,0,41,,10,14,,4,27,14,38
applications/console/geronimo-console-core/src/main/java/org/apache/geronimo/console/util/ManagementHelper.java,6,0,44,,7,12,,2,16,9,9
applications/console/geronimo-console-core/src/site/site.xml,2,0,12,,6,10,,5,11,11,7
applications/console/geronimo-console-ear/NOTICE.txt,3,0,6,,2,1,,0,5,2,45
applications/console/geronimo-console-ear/pom.xml,6,0,17,,3,15,,2,11,5,44
applications/console/geronimo-console-ear/src/main/application/META-INF/NOTICE.txt,3,0,3,,1,1,,0,2,1,45
applications/console/geronimo-console-ear/src/site/site.xml,3,0,12,,4,10,,3,11,7,7
applications/console/geronimo-console-framework/NOTICE.txt,3,0,6,,2,1,,0,5,2,45
applications/console/geronimo-console-framework/pom.xml,8,0,28,,4,13,,2,16,5,44
applications/console/geronimo-console-framework/src/main/java/org/apache/geronimo/console/servlet/ContextForwardServlet.java,1,0,0,,0,0,,0,0,0,9
applications/console/geronimo-console-framework/src/main/java/org/apache/geronimo/console/servlet/GenericForwardServlet.java,3,0,18,,6,12,,4,12,10,9
applications/console/geronimo-console-framework/src/main/webapp/index.jsp,1,0,0,,0,0,,0,0,0,9
applications/console/geronimo-console-framework/src/main/webapp/js/forms.js,2,0,54,,27,0,,0,38,27,9
applications/console/geronimo-console-framework/src/main/webapp/login.jsp,4,0,4,,1,0,,0,2,1,37
applications/console/geronimo-console-framework/src/main/webapp/login_success.jsp,4,0,10,,2,0,,0,5,2,37
applications/console/geronimo-console-framework/src/main/webapp/loginerror.jsp,8,0,18,,2,2,,0,5,2,46
applications/console/geronimo-console-framework/src/main/webapp/logout.jsp,4,0,4,,1,2,,0,3,2,37
applications/console/geronimo-console-framework/src/main/webapp/main.css,2,0,0,,0,0,,0,0,0,9
applications/console/geronimo-console-framework/src/main/webapp/pluto_style.css,2,0,0,,0,0,,0,0,0,9
applications/console/geronimo-console-framework/src/main/webapp/WEB-INF/aggregation/Banner.jsp,1,0,1,,1,1,,1,2,2,43
applications/console/geronimo-console-framework/src/main/webapp/WEB-INF/aggregation/ColumnFragment.jsp,2,0,0,,0,0,,0,0,0,9
applications/console/geronimo-console-framework/src/main/webapp/WEB-INF/aggregation/Head.jsp,3,0,13,,4,9,,3,10,7,38
applications/console/geronimo-console-framework/src/main/webapp/WEB-INF/aggregation/PageFragment.jsp,2,0,0,,0,0,,0,0,0,9
applications/console/geronimo-console-framework/src/main/webapp/WEB-INF/aggregation/PortletFragmentFooter.jsp,4,0,6,,2,6,,2,6,3,43
applications/console/geronimo-console-framework/src/main/webapp/WEB-INF/aggregation/PortletFragmentHeader.jsp,4,0,10,,2,10,,2,10,5,43
applications/console/geronimo-console-framework/src/main/webapp/WEB-INF/aggregation/RootFragment.jsp,3,0,2,,1,0,,0,2,1,37
applications/console/geronimo-console-framework/src/main/webapp/WEB-INF/aggregation/RowFragment.jsp,2,0,0,,0,0,,0,0,0,9
applications/console/geronimo-console-framework/src/main/webapp/WEB-INF/aggregation/TabNavigation.jsp,6,0,44,,7,44,,7,22,15,43
applications/console/geronimo-console-framework/src/main/webapp/WEB-INF/classes/castor.properties,1,0,0,,0,0,,0,0,0,9
applications/console/geronimo-console-framework/src/main/webapp/WEB-INF/config/services.properties,1,0,0,,0,0,,0,0,0,9
applications/console/geronimo-console-framework/src/main/webapp/WEB-INF/config/services/ConfigService.properties,1,0,0,,0,0,,0,0,0,9
applications/console/geronimo-console-framework/src/main/webapp/WEB-INF/config/services/FactoryManagerService.properties,2,0,0,,0,0,,0,0,0,9
applications/console/geronimo-console-framework/src/main/webapp/WEB-INF/config/services/LogService.properties,2,0,0,,0,0,,0,0,0,9
applications/console/geronimo-console-framework/src/main/webapp/WEB-INF/config/services/PageRegistryService.properties,2,0,0,,0,0,,0,0,0,9
applications/console/geronimo-console-framework/src/main/webapp/WEB-INF/config/services/PortletDefinitionRegistryService.properties,2,0,0,,0,0,,0,0,0,9
applications/console/geronimo-console-framework/src/main/webapp/WEB-INF/config/services/PortletEntityRegistryService.properties,2,0,0,,0,0,,0,0,0,9
applications/console/geronimo-console-framework/src/main/webapp/WEB-INF/data/pageregistry.xml,7,0,192,,27,42,,6,90,33,17
applications/console/geronimo-console-framework/src/main/webapp/WEB-INF/data/portletentityregistry.xml,16,0,66,,4,16,,1,10,5,47
applications/console/geronimo-console-framework/src/main/webapp/WEB-INF/data/xml/pageregistrymapping.xml,1,0,0,,0,0,,0,0,0,9
applications/console/geronimo-console-framework/src/main/webapp/WEB-INF/data/xml/portletdefinitionmapping.xml,2,0,0,,0,0,,0,0,0,9
applications/console/geronimo-console-framework/src/main/webapp/WEB-INF/data/xml/portletentitymapping.xml,2,0,0,,0,0,,0,0,0,9
applications/console/geronimo-console-framework/src/main/webapp/WEB-INF/data/xml/servletdefinitionmapping.xml,1,0,0,,0,0,,0,0,0,9
applications/console/geronimo-console-framework/src/main/webapp/WEB-INF/tld/portlet.tld,1,0,0,,0,0,,0,0,0,9
