File,Revisions,Refactorings,BugFixes,SumOfAdded Lines,MaxOfAdded Lines,AvgOfAdded Lines,SumOfDeleted Lines,MaxOfDeleted Lines,AvgOfDeleted Lines,MaxOfCodeChurn,AvgOfCodeChurn,AvgChangeset,Age
applications/ca-helper/ca-helper-jetty/pom.xml,3,0,0,8,7,3,7,6,2,13,5,701,14
applications/ca-helper/ca-helper-jetty/src/plan,1,0,0,0,0,0,0,0,0,0,0,1340,14
applications/ca-helper/ca-helper-tomcat/pom.xml,4,0,0,8,7,2,7,6,2,13,4,530,14
applications/ca-helper/ca-helper-tomcat/src/plan,1,0,0,0,0,0,0,0,0,0,0,1340,14
applications/ca-helper/geronimo-ca-helper/pom.xml,2,0,0,0,0,0,0,0,0,0,0,816,14
applications/ca-helper/pom.xml,4,0,0,9,3,2,3,3,1,6,3,456,14
applications/console/console-core/LICENSE.txt,1,0,0,0,0,0,0,0,0,0,0,1340,14
applications/console/console-core/maven.xml,2,0,0,0,0,0,0,0,0,0,0,673,14
applications/console/console-core/NOTICE.txt,2,0,0,0,0,0,0,0,0,0,0,673,14
applications/console/console-core/pom.xml,2,0,0,0,0,0,0,0,0,0,0,673,14
applications/console/console-core/project.properties,2,0,0,0,0,0,0,0,0,0,0,673,14
applications/console/console-core/project.xml,2,0,0,0,0,0,0,0,0,0,0,673,14
applications/console/console-core/src/java,1,0,0,0,0,0,0,0,0,0,0,1340,14
applications/console/console-core/src/main/java,1,0,0,0,0,0,0,0,0,0,0,1340,14
applications/console/console-ear/LICENSE.txt,1,0,0,0,0,0,0,0,0,0,0,1340,14
applications/console/console-ear/maven.xml,2,0,0,0,0,0,0,0,0,0,0,673,14
applications/console/console-ear/NOTICE.txt,2,0,0,0,0,0,0,0,0,0,0,673,14
applications/console/console-ear/pom.xml,2,0,0,0,0,0,0,0,0,0,0,673,14
applications/console/console-ear/project.properties,2,0,0,0,0,0,0,0,0,0,0,673,14
applications/console/console-ear/project.xml,2,0,0,0,0,0,0,0,0,0,0,673,14
applications/console/console-ear/src/application,1,0,0,0,0,0,0,0,0,0,0,1340,14
applications/console/console-ear/src/main/application,1,0,0,0,0,0,0,0,0,0,0,1340,14
applications/console/console-framework/classpath.properties,2,0,0,0,0,0,0,0,0,0,0,674,14
applications/console/console-framework/LICENSE.txt,1,0,0,0,0,0,0,0,0,0,0,1340,14
applications/console/console-framework/maven.xml,2,0,0,0,0,0,0,0,0,0,0,674,14
applications/console/console-framework/NOTICE.txt,2,0,0,0,0,0,0,0,0,0,0,674,14
applications/console/console-framework/pom.xml,2,0,0,0,0,0,0,0,0,0,0,674,14
applications/console/console-framework/project.properties,2,0,0,0,0,0,0,0,0,0,0,674,14
applications/console/console-framework/project.xml,2,0,0,0,0,0,0,0,0,0,0,674,14
applications/console/console-framework/src/java,1,0,0,0,0,0,0,0,0,0,0,1340,14
applications/console/console-framework/src/main/java,1,0,0,0,0,0,0,0,0,0,0,1340,14
applications/console/console-framework/src/main/webapp,2,0,0,0,0,0,0,0,0,0,0,671,14
applications/console/console-framework/src/webapp,2,0,0,0,0,0,0,0,0,0,0,671,14
applications/console/console-standard/LICENSE.txt,1,0,0,0,0,0,0,0,0,0,0,1340,14
applications/console/console-standard/maven.xml,2,0,0,0,0,0,0,0,0,0,0,673,14
applications/console/console-standard/NOTICE.txt,2,0,0,0,0,0,0,0,0,0,0,673,14
applications/console/console-standard/pom.xml,2,0,0,0,0,0,0,0,0,0,0,673,14
applications/console/console-standard/project.properties,2,0,0,0,0,0,0,0,0,0,0,673,14
applications/console/console-standard/project.xml,2,0,0,0,0,0,0,0,0,0,0,673,14
applications/console/console-standard/src/conf,1,0,0,0,0,0,0,0,0,0,0,1340,14
applications/console/console-standard/src/java,2,0,0,0,0,0,0,0,0,0,0,672,14
applications/console/console-standard/src/main/java,1,0,0,0,0,0,0,0,0,0,0,1340,14
applications/console/console-standard/src/main/resources,2,0,0,0,0,0,0,0,0,0,0,672,14
applications/console/console-standard/src/main/webapp,2,0,0,0,0,0,0,0,0,0,0,672,14
applications/console/console-standard/src/test,2,0,0,0,0,0,0,0,0,0,0,672,14
applications/console/console-standard/src/webapp,2,0,0,0,0,0,0,0,0,0,0,672,14
applications/console/geronimo-console-core/NOTICE.txt,1,0,0,0,0,0,0,0,0,0,0,1340,14
applications/console/geronimo-console-core/pom.xml,2,0,0,0,0,0,0,0,0,0,0,671,14
applications/console/geronimo-console-core/src/main/java/org/apache/geronimo/console/core/jms/JMSConnectionFactoryBean.java,1,0,0,0,0,0,0,0,0,0,0,1340,14
applications/console/geronimo-console-core/src/main/java/org/apache/geronimo/console/core/jms/TopicBrowserGBean.java,2,0,0,0,0,0,0,0,0,0,0,672,14
applications/console/geronimo-console-core/src/main/java/org/apache/geronimo/console/core/keystore/KeyEntryInfo.java,1,0,0,0,0,0,0,0,0,0,0,1340,14
applications/console/geronimo-console-core/src/main/java/org/apache/geronimo/console/core/keystore/KeyStoreGBean.java,2,0,0,0,0,0,0,0,0,0,0,672,14
applications/console/geronimo-console-core/src/main/java/org/apache/geronimo/console/core/security/PropertiesFileLoginModuleNoCache.java,1,0,0,0,0,0,0,0,0,0,0,1340,14
applications/console/geronimo-console-core/src/main/java/org/apache/geronimo/console/core/security/PropertiesLoginModuleManager.java,2,0,0,0,0,0,0,0,0,0,0,672,14
applications/console/geronimo-console-core/src/main/java/org/apache/geronimo/console/core/system/serverinfo,1,0,0,0,0,0,0,0,0,0,0,1340,14
applications/console/geronimo-console-core/src/main/java/org/apache/geronimo/console/gbean/ContextForward.java,1,0,0,0,0,0,0,0,0,0,0,1340,14
applications/console/geronimo-console-core/src/main/java/org/apache/geronimo/console/gbean/ContextForwardGBean.java,2,0,0,0,0,0,0,0,0,0,0,672,14
applications/console/geronimo-console-core/src/main/java/org/apache/geronimo/console/util/ConfigurationData.java,1,0,0,0,0,0,0,0,0,0,0,1340,14
applications/console/geronimo-console-core/src/main/java/org/apache/geronimo/console/util/KernelManagementHelper.java,2,0,0,0,0,0,0,0,0,0,0,673,14
applications/console/geronimo-console-core/src/main/java/org/apache/geronimo/console/util/ManagementHelper.java,2,0,0,0,0,0,0,0,0,0,0,673,14
applications/console/geronimo-console-core/src/site/site.xml,1,0,0,0,0,0,0,0,0,0,0,1340,14
applications/console/geronimo-console-ear/NOTICE.txt,1,0,0,0,0,0,0,0,0,0,0,1340,14
applications/console/geronimo-console-ear/pom.xml,2,0,0,0,0,0,0,0,0,0,0,671,14
applications/console/geronimo-console-ear/src/main/application/META-INF/application.xml,2,0,0,0,0,0,0,0,0,0,0,672,14
applications/console/geronimo-console-ear/src/main/application/META-INF/LICENSE.txt,1,0,0,0,0,0,0,0,0,0,0,1340,14
applications/console/geronimo-console-ear/src/main/application/META-INF/NOTICE.txt,2,0,0,0,0,0,0,0,0,0,0,672,14
applications/console/geronimo-console-ear/src/site/site.xml,1,0,0,0,0,0,0,0,0,0,0,1340,14
applications/console/geronimo-console-framework/NOTICE.txt,1,0,0,0,0,0,0,0,0,0,0,1340,14
applications/console/geronimo-console-framework/pom.xml,2,0,0,0,0,0,0,0,0,0,0,671,14
applications/console/geronimo-console-framework/src/main/java/org/apache/geronimo/console/servlet/ContextForwardServlet.java,1,0,0,0,0,0,0,0,0,0,0,1340,14
applications/console/geronimo-console-framework/src/main/java/org/apache/geronimo/console/servlet/GenericForwardServlet.java,2,0,0,0,0,0,0,0,0,0,0,672,14
applications/console/geronimo-console-framework/src/main/webapp/index.jsp,2,0,0,0,0,0,0,0,0,0,0,674,14
applications/console/geronimo-console-framework/src/main/webapp/js/forms.js,1,0,0,0,0,0,0,0,0,0,0,1340,14
applications/console/geronimo-console-framework/src/main/webapp/login.jsp,2,0,0,0,0,0,0,0,0,0,0,674,14
applications/console/geronimo-console-framework/src/main/webapp/login_success.jsp,2,0,0,0,0,0,0,0,0,0,0,674,14
applications/console/geronimo-console-framework/src/main/webapp/loginerror.jsp,2,0,0,0,0,0,0,0,0,0,0,674,14
applications/console/geronimo-console-framework/src/main/webapp/logout.jsp,2,0,0,0,0,0,0,0,0,0,0,674,14
applications/console/geronimo-console-framework/src/main/webapp/main.css,2,0,0,0,0,0,0,0,0,0,0,674,14
applications/console/geronimo-console-framework/src/main/webapp/pluto_style.css,2,0,0,0,0,0,0,0,0,0,0,674,14
applications/console/geronimo-console-framework/src/main/webapp/TreeDocIcon.css,1,0,0,0,0,0,0,0,0,0,0,1340,14
applications/console/geronimo-console-framework/src/main/webapp/WEB-INF/aggregation/Banner.jsp,1,0,0,0,0,0,0,0,0,0,0,1340,14
applications/console/geronimo-console-framework/src/main/webapp/WEB-INF/aggregation/ColumnFragment.jsp,2,0,0,0,0,0,0,0,0,0,0,674,14
applications/console/geronimo-console-framework/src/main/webapp/WEB-INF/aggregation/Head.jsp,2,0,0,0,0,0,0,0,0,0,0,674,14
applications/console/geronimo-console-framework/src/main/webapp/WEB-INF/aggregation/PageFragment.jsp,2,0,0,0,0,0,0,0,0,0,0,674,14
applications/console/geronimo-console-framework/src/main/webapp/WEB-INF/aggregation/PortletFragmentFooter.jsp,2,0,0,0,0,0,0,0,0,0,0,674,14
applications/console/geronimo-console-framework/src/main/webapp/WEB-INF/aggregation/PortletFragmentHeader.jsp,2,0,0,0,0,0,0,0,0,0,0,674,14
applications/console/geronimo-console-framework/src/main/webapp/WEB-INF/aggregation/RootFragment.jsp,2,0,0,0,0,0,0,0,0,0,0,674,14
applications/console/geronimo-console-framework/src/main/webapp/WEB-INF/aggregation/RowFragment.jsp,2,0,0,0,0,0,0,0,0,0,0,674,14
applications/console/geronimo-console-framework/src/main/webapp/WEB-INF/aggregation/TabNavigation.jsp,2,0,0,0,0,0,0,0,0,0,0,674,14
applications/console/geronimo-console-framework/src/main/webapp/WEB-INF/classes/castor.properties,1,0,0,0,0,0,0,0,0,0,0,1340,14
applications/console/geronimo-console-framework/src/main/webapp/WEB-INF/config/services.properties,1,0,0,0,0,0,0,0,0,0,0,1340,14
applications/console/geronimo-console-framework/src/main/webapp/WEB-INF/config/services/ConfigService.properties,1,0,0,0,0,0,0,0,0,0,0,1340,14
applications/console/geronimo-console-framework/src/main/webapp/WEB-INF/config/services/FactoryManagerService.properties,2,0,0,0,0,0,0,0,0,0,0,673,14
applications/console/geronimo-console-framework/src/main/webapp/WEB-INF/config/services/LogService.properties,2,0,0,0,0,0,0,0,0,0,0,673,14
applications/console/geronimo-console-framework/src/main/webapp/WEB-INF/config/services/PageRegistryService.properties,2,0,0,0,0,0,0,0,0,0,0,673,14
